season,weeks_total,weeks_correct,penalty,consistency
3,7,4,0.23132858985227858,0.5714285714285714
4,8,3,0.12792734174753606,0.375
5,9,2,0.27328156676399074,0.2222222222222222
6,8,5,0.12012156334198008,0.625
7,8,3,0.20769357763247684,0.375
8,9,3,0.18579173931226226,0.3333333333333333
9,9,1,0.31587303819812035,0.1111111111111111
10,8,5,0.17424806142804108,0.625
11,9,6,0.255109038773649,0.6666666666666666
12,8,4,0.19320466959096214,0.5
13,9,5,0.24215110655181252,0.5555555555555556
14,8,3,0.16224274666897165,0.375
15,7,1,0.3940026641127844,0.14285714285714285
16,8,6,0.08492587925066739,0.75
17,9,2,0.33821971579256466,0.2222222222222222
18,7,1,0.2610123314758284,0.14285714285714285
19,10,4,0.2739468646242907,0.4
20,8,4,0.3294711368331971,0.5
21,7,4,0.16297661700536442,0.5714285714285714
22,7,3,0.28607968912103665,0.42857142857142855
23,9,4,0.262222018393547,0.4444444444444444
24,8,3,0.34966620759778383,0.375
25,8,3,0.3032769289296236,0.375
26,3,0,0.15401872277868908,0.0
27,7,0,0.5445394738891797,0.0
Overall,198,79,6.233331289666638,0.398989898989899
