season,weeks_total,weeks_correct,penalty,consistency
3,7,5,0.054032988900836944,0.7142857142857143
4,8,8,0.0,1.0
5,9,7,0.06551524543779025,0.7777777777777778
6,8,6,0.048976742479764114,0.75
7,8,3,0.18942320599826726,0.375
8,9,9,0.012315909439108654,1.0
9,9,4,0.17246433020788307,0.4444444444444444
10,8,8,0.009932231847805879,1.0
11,9,6,0.15070075194027305,0.6666666666666666
12,8,8,0.0,1.0
13,9,6,0.09282606634869299,0.6666666666666666
14,8,7,0.06548334334346267,0.875
15,7,4,0.20565287036771984,0.5714285714285714
16,8,7,0.013110420703674066,0.875
17,9,7,0.07812259954017772,0.7777777777777778
18,7,6,0.08419256288863325,0.8571428571428571
19,10,9,0.021750494991450625,0.9
20,8,4,0.15126365234534467,0.5
21,7,7,0.0,1.0
22,7,7,0.010346790032140184,1.0
23,9,4,0.18450652975070195,0.4444444444444444
24,8,5,0.14569129467761333,0.625
25,8,6,0.1145019848119891,0.75
26,3,1,0.1347037739580542,0.3333333333333333
27,7,5,0.06934988552429114,0.7142857142857143
Overall,198,149,2.074863675535675,0.7525252525252525
