season,week,contestant_id,celebrity_name,ballroom_partner,judge_rank,fan_rank_min,fan_rank_max,combined_rank_min,combined_rank_max,actual_eliminated,epsilon,k_actual,status,worse_definite,worse_possible
1,1,0,John O'Hurley,Charlotte Jorgensen,1,1,2,2,3,0,0.5,0,no_elimination,,
1,1,1,Kelly Monaco,Alec Mazo,6,5,7,11,13,0,0.5,0,no_elimination,,
1,1,2,Evander Holyfield,Edyta Sliwinska,4,3,5,7,9,0,0.5,0,no_elimination,,
1,1,3,Rachel Hunter,Jonathan Roberts,1,1,3,2,4,0,0.5,0,no_elimination,,
1,1,4,Joey McIntyre,Ashly DelGrosso,1,2,4,3,5,0,0.5,0,no_elimination,,
1,1,5,Trista Sutter,Louis van Amstel,4,4,6,8,10,0,0.5,0,no_elimination,,
1,2,0,John O'Hurley,Charlotte Jorgensen,1,1,2,2,3,0,0.5,1,always_safe,4.0,5.0
1,2,1,Kelly Monaco,Alec Mazo,5,3,5,8,10,0,0.5,1,uncertain,0.0,2.0
1,2,2,Evander Holyfield,Edyta Sliwinska,6,4,6,10,12,0,0.5,1,uncertain,0.0,1.0
1,2,3,Rachel Hunter,Jonathan Roberts,2,1,3,3,5,0,0.5,1,always_safe,3.0,4.0
1,2,4,Joey McIntyre,Ashly DelGrosso,3,2,4,5,7,0,0.5,1,always_safe,3.0,3.0
1,2,5,Trista Sutter,Louis van Amstel,4,5,7,9,11,1,0.5,1,uncertain,0.0,2.0
1,3,0,John O'Hurley,Charlotte Jorgensen,2,1,3,3,5,0,0.5,1,always_safe,2.0,3.0
1,3,1,Kelly Monaco,Alec Mazo,4,3,5,7,9,0,0.5,1,uncertain,0.0,1.0
1,3,2,Evander Holyfield,Edyta Sliwinska,5,4,6,9,11,1,0.5,1,always_eliminated,0.0,0.0
1,3,3,Rachel Hunter,Jonathan Roberts,1,1,2,2,3,0,0.5,1,always_safe,3.0,4.0
1,3,4,Joey McIntyre,Ashly DelGrosso,3,2,4,5,7,0,0.5,1,always_safe,1.0,2.0
1,4,0,John O'Hurley,Charlotte Jorgensen,3,1,3,4,6,0,0.5,1,uncertain,0.0,2.0
1,4,1,Kelly Monaco,Alec Mazo,1,1,2,2,3,0,0.5,1,always_safe,3.0,3.0
1,4,3,Rachel Hunter,Jonathan Roberts,2,3,5,5,7,1,0.5,1,uncertain,0.0,2.0
1,4,4,Joey McIntyre,Ashly DelGrosso,4,2,4,6,8,0,0.5,1,uncertain,0.0,1.0
1,5,0,John O'Hurley,Charlotte Jorgensen,1,1,2,2,3,0,0.5,1,always_safe,1.0,2.0
1,5,1,Kelly Monaco,Alec Mazo,2,1,3,3,5,0,0.5,1,uncertain,0.0,1.0
1,5,4,Joey McIntyre,Ashly DelGrosso,3,2,4,5,7,1,0.5,1,always_eliminated,0.0,0.0
1,6,0,John O'Hurley,Charlotte Jorgensen,2,1,3,3,5,0,0.5,0,no_elimination,,
1,6,1,Kelly Monaco,Alec Mazo,1,1,2,2,3,0,0.5,0,no_elimination,,
2,1,0,Tatum O'Neal,Nick Kosovich,2,2,4,4,6,0,0.5,1,always_safe,7.0,8.0
2,1,1,Tia Carrere,Maksim Chmerkoskiy,6,5,7,11,13,0,0.5,1,always_safe,3.0,4.0
2,1,2,George Hamilton,Edyta Sliwinska,8,7,9,15,17,0,0.5,1,always_safe,2.0,2.0
2,1,3,Lisa Rinna,Louis van Amstel,7,6,8,13,15,0,0.5,1,always_safe,2.0,3.0
2,1,4,Stacy Keibler,Tony Dovolani,4,3,5,7,9,0,0.5,1,always_safe,5.0,6.0
2,1,5,Jerry Rice,Anna Trebunskaya,5,4,6,9,11,0,0.5,1,always_safe,4.0,5.0
2,1,6,Giselle Fernandez,Jonathan Roberts,2,1,3,3,5,0,0.5,1,always_safe,7.0,8.0
2,1,7,Master P,Ashly DelGrosso,10,8,10,18,20,0,0.5,1,uncertain,0.0,1.0
2,1,8,Drew Lachey,Cheryl Burke,1,1,2,2,3,0,0.5,1,always_safe,8.0,9.0
2,1,9,Kenny Mayne,Andrea Hale,9,9,11,18,20,1,0.5,1,uncertain,0.0,1.0
2,2,0,Tatum O'Neal,Nick Kosovich,8,8,10,16,18,1,0.5,1,uncertain,0.0,1.0
2,2,1,Tia Carrere,Maksim Chmerkoskiy,5,4,6,9,11,0,0.5,1,always_safe,3.0,4.0
2,2,2,George Hamilton,Edyta Sliwinska,5,5,7,10,12,0,0.5,1,always_safe,3.0,4.0
2,2,3,Lisa Rinna,Louis van Amstel,7,6,8,13,15,0,0.5,1,always_safe,2.0,2.0
2,2,4,Stacy Keibler,Tony Dovolani,1,1,2,2,3,0,0.5,1,always_safe,7.0,8.0
2,2,5,Jerry Rice,Anna Trebunskaya,4,3,5,7,9,0,0.5,1,always_safe,4.0,5.0
2,2,6,Giselle Fernandez,Jonathan Roberts,3,2,4,5,7,0,0.5,1,always_safe,5.0,6.0
2,2,7,Master P,Ashly DelGrosso,9,7,9,16,18,0,0.5,1,uncertain,0.0,1.0
2,2,8,Drew Lachey,Cheryl Burke,2,1,3,3,5,0,0.5,1,always_safe,6.0,7.0
2,3,1,Tia Carrere,Maksim Chmerkoskiy,3,2,4,5,7,0,0.5,1,always_safe,4.0,5.0
2,3,2,George Hamilton,Edyta Sliwinska,5,4,6,9,11,0,0.5,1,always_safe,3.0,3.0
2,3,3,Lisa Rinna,Louis van Amstel,4,3,5,7,9,0,0.5,1,always_safe,3.0,4.0
2,3,4,Stacy Keibler,Tony Dovolani,1,1,2,2,3,0,0.5,1,always_safe,6.0,7.0
2,3,5,Jerry Rice,Anna Trebunskaya,7,5,7,12,14,0,0.5,1,uncertain,0.0,2.0
2,3,6,Giselle Fernandez,Jonathan Roberts,5,7,9,12,14,1,0.5,1,uncertain,0.0,2.0
2,3,7,Master P,Ashly DelGrosso,8,6,8,14,16,0,0.5,1,always_eliminated,0.0,0.0
2,3,8,Drew Lachey,Cheryl Burke,1,1,3,2,4,0,0.5,1,always_safe,6.0,7.0
2,4,1,Tia Carrere,Maksim Chmerkoskiy,4,3,5,7,9,0,0.5,1,always_safe,2.0,3.0
2,4,2,George Hamilton,Edyta Sliwinska,6,5,7,11,13,0,0.5,1,uncertain,0.0,1.0
2,4,3,Lisa Rinna,Louis van Amstel,2,2,4,4,6,0,0.5,1,always_safe,4.0,5.0
2,4,4,Stacy Keibler,Tony Dovolani,2,1,3,3,5,0,0.5,1,always_safe,4.0,5.0
2,4,5,Jerry Rice,Anna Trebunskaya,5,4,6,9,11,0,0.5,1,always_safe,1.0,2.0
2,4,7,Master P,Ashly DelGrosso,7,6,8,13,15,1,0.5,1,always_eliminated,0.0,0.0
