season,week,contestant_id,celebrity_name,ballroom_partner,judge_rank,fan_rank_min,fan_rank_max,combined_rank_min,combined_rank_max,actual_eliminated,epsilon,k_actual,status,worse_definite,worse_possible
1,1,0,John O'Hurley,Charlotte Jorgensen,1,1.0,2.0,2.0,3.0,0,0.01,0,no_elimination,,
1,1,1,Kelly Monaco,Alec Mazo,6,6.0,6.0,12.0,12.0,0,0.01,0,no_elimination,,
1,1,2,Evander Holyfield,Edyta Sliwinska,4,4.0,5.0,8.0,9.0,0,0.01,0,no_elimination,,
1,1,3,Rachel Hunter,Jonathan Roberts,1,1.0,3.0,2.0,4.0,0,0.01,0,no_elimination,,
1,1,4,Joey McIntyre,Ashly DelGrosso,1,2.0,3.0,3.0,4.0,0,0.01,0,no_elimination,,
1,1,5,Trista Sutter,Louis van Amstel,4,4.0,5.0,8.0,9.0,0,0.01,0,no_elimination,,
1,1,0,John O'Hurley,Charlotte Jorgensen,1,1.0,3.0,2.0,4.0,0,0.05,0,no_elimination,,
1,1,1,Kelly Monaco,Alec Mazo,6,6.0,6.0,12.0,12.0,0,0.05,0,no_elimination,,
1,1,2,Evander Holyfield,Edyta Sliwinska,4,4.0,5.0,8.0,9.0,0,0.05,0,no_elimination,,
1,1,3,Rachel Hunter,Jonathan Roberts,1,1.0,3.0,2.0,4.0,0,0.05,0,no_elimination,,
1,1,4,Joey McIntyre,Ashly DelGrosso,1,1.0,3.0,2.0,4.0,0,0.05,0,no_elimination,,
1,1,5,Trista Sutter,Louis van Amstel,4,4.0,5.0,8.0,9.0,0,0.05,0,no_elimination,,
1,1,0,John O'Hurley,Charlotte Jorgensen,1,1.0,3.0,2.0,4.0,0,0.1,0,no_elimination,,
1,1,1,Kelly Monaco,Alec Mazo,6,5.0,6.0,11.0,12.0,0,0.1,0,no_elimination,,
1,1,2,Evander Holyfield,Edyta Sliwinska,4,4.0,6.0,8.0,10.0,0,0.1,0,no_elimination,,
1,1,3,Rachel Hunter,Jonathan Roberts,1,1.0,3.0,2.0,4.0,0,0.1,0,no_elimination,,
