season,week,contestant_id,celebrity_name,ballroom_partner,fan_rank_mean,fan_rank_std,fan_rank_p05,fan_rank_p95
1,1,0,John O'Hurley,Charlotte Jorgensen,2.0518,0.874524579027903,1.0,3.0
1,1,1,Kelly Monaco,Alec Mazo,6.0,0.0,6.0,6.0
1,1,2,Evander Holyfield,Edyta Sliwinska,4.4364,0.614160206522636,4.0,5.0
1,1,3,Rachel Hunter,Jonathan Roberts,2.0344,0.8858301809663914,1.0,3.0
1,1,4,Joey McIntyre,Ashly DelGrosso,2.0376,0.887166808720125,1.0,3.0
1,1,5,Trista Sutter,Louis van Amstel,4.4398,0.6265901543450502,4.0,5.0
1,2,0,John O'Hurley,Charlotte Jorgensen,1.0216,0.14538071933841673,1.0,1.0
1,2,1,Kelly Monaco,Alec Mazo,4.0014,0.03739224275142901,4.0,4.0
1,2,2,Evander Holyfield,Edyta Sliwinska,4.9986,0.03739224275142901,5.0,5.0
1,2,3,Rachel Hunter,Jonathan Roberts,1.9799,0.15065941665220456,2.0,2.0
1,2,4,Joey McIntyre,Ashly DelGrosso,2.9985,0.03870271036993401,3.0,3.0
1,2,5,Trista Sutter,Louis van Amstel,6.0,0.0,6.0,6.0
1,3,0,John O'Hurley,Charlotte Jorgensen,2.0002,0.2083369876667198,2.0,2.0
1,3,1,Kelly Monaco,Alec Mazo,3.8405,0.36725091875137994,3.0,4.0
1,3,2,Evander Holyfield,Edyta Sliwinska,5.0,0.0,5.0,5.0
1,3,3,Rachel Hunter,Jonathan Roberts,1.0214,0.1447208845102918,1.0,1.0
1,3,4,Joey McIntyre,Ashly DelGrosso,3.1379,0.4011230234828174,3.0,4.0
1,4,0,John O'Hurley,Charlotte Jorgensen,2.1603,0.36690240083321,2.0,3.0
1,4,1,Kelly Monaco,Alec Mazo,1.0,0.0,1.0,1.0
1,4,3,Rachel Hunter,Jonathan Roberts,4.0,0.0,4.0,4.0
1,4,4,Joey McIntyre,Ashly DelGrosso,2.8397,0.36690240083321,2.0,3.0
1,5,0,John O'Hurley,Charlotte Jorgensen,1.0,0.0,1.0,1.0
1,5,1,Kelly Monaco,Alec Mazo,2.1581,0.36485298651673015,2.0,3.0
1,5,4,Joey McIntyre,Ashly DelGrosso,2.8419,0.36485298651673015,2.0,3.0
1,6,0,John O'Hurley,Charlotte Jorgensen,1.6949,0.4604727934627108,1.0,2.0
1,6,1,Kelly Monaco,Alec Mazo,1.3051,0.4604727934627108,1.0,2.0
2,1,0,Tatum O'Neal,Nick Kosovich,2.509,0.9100559434353558,1.0,4.0
2,1,1,Tia Carrere,Maksim Chmerkoskiy,6.0047,0.6349159171277583,5.0,7.0
2,1,2,George Hamilton,Edyta Sliwinska,7.8268,0.4219236446991275,7.0,8.0
2,1,3,Lisa Rinna,Louis van Amstel,6.9677,0.587274381460585,6.0,8.0
2,1,4,Stacy Keibler,Tony Dovolani,3.8443,0.818122510657324,2.0,5.0
