赛季,周数,人名,伴侣名,地区,国家,年龄,行业,最终名次,比赛结果,评委评分百分比,粉丝投票百分比,总百分比
1,1,Evander Holyfield,Edyta Sliwinska,Alabama,United States,42,Athlete,5,Eliminated Week 3,0.1651,0.1303001825883665,0.2954001825883665
1,1,Joey McIntyre,Ashly DelGrosso,Massachusetts,United States,32,Singer/Rapper,3,Eliminated Week 5,0.1835,0.1592810228753629,0.3427810228753629
1,1,John O'Hurley,Charlotte Jorgensen,Maine,United States,50,Actor/Actress,2,2nd Place,0.1835,0.2972288985368851,0.4807288985368851
1,1,Kelly Monaco,Alec Mazo,Pennsylvania,United States,29,Actor/Actress,1,1st Place,0.1193,0.0962564392725305,0.2155564392725305
1,1,Rachel Hunter,Jonathan Roberts,others,New Zealand,35,Model,4,Eliminated Week 4,0.1835,0.2063521028436584,0.3898521028436584
1,1,Trista Sutter,Louis van Amstel,Indiana,United States,32,TV Personality,6,Eliminated Week 2,0.1651,0.1105813538831965,0.2756813538831965
1,2,Evander Holyfield,Edyta Sliwinska,Alabama,United States,42,Athlete,5,Eliminated Week 3,0.1157,0.1592810228753629,0.2749810228753628
1,2,Joey McIntyre,Ashly DelGrosso,Massachusetts,United States,32,Singer/Rapper,3,Eliminated Week 5,0.1736,0.1105813538831965,0.2841813538831965
1,2,John O'Hurley,Charlotte Jorgensen,Maine,United States,50,Actor/Actress,2,2nd Place,0.2149,0.297228898536885,0.512128898536885
1,2,Kelly Monaco,Alec Mazo,Pennsylvania,United States,29,Actor/Actress,1,1st Place,0.1405,0.1303001825883664,0.2708001825883664
1,2,Rachel Hunter,Jonathan Roberts,others,New Zealand,35,Model,4,Eliminated Week 4,0.1983,0.2063521028436583,0.4046521028436582
1,2,Trista Sutter,Louis van Amstel,Indiana,United States,32,TV Personality,6,Eliminated Week 2,0.157,0.0962564392725305,0.2532564392725305
1,3,Evander Holyfield,Edyta Sliwinska,Alabama,United States,42,Athlete,5,Eliminated Week 3,0.1226,0.1223592163624202,0.2449592163624201
1,3,Joey McIntyre,Ashly DelGrosso,Massachusetts,United States,32,Singer/Rapper,3,Eliminated Week 5,0.2075,0.1762458177263797,0.3837458177263797
1,3,John O'Hurley,Charlotte Jorgensen,Maine,United States,50,Actor/Actress,2,2nd Place,0.2264,0.2283303713694568,0.4547303713694568
1,3,Kelly Monaco,Alec Mazo,Pennsylvania,United States,29,Actor/Actress,1,1st Place,0.1981,0.1441782694235533,0.3422782694235533
1,3,Rachel Hunter,Jonathan Roberts,others,New Zealand,35,Model,4,Eliminated Week 4,0.2453,0.3288863251181899,0.5741863251181899
1,4,Joey McIntyre,Ashly DelGrosso,Massachusetts,United States,32,Singer/Rapper,3,Eliminated Week 5,0.2174,0.3747391088128863,0.5921391088128863
1,4,John O'Hurley,Charlotte Jorgensen,Maine,United States,50,Actor/Actress,2,2nd Place,0.2283,0.2601638114663384,0.4884638114663384
1,4,Kelly Monaco,Alec Mazo,Pennsylvania,United States,29,Actor/Actress,1,1st Place,0.2826,0.2008177161000759,0.4834177161000759
1,4,Rachel Hunter,Jonathan Roberts,others,New Zealand,35,Model,4,Eliminated Week 4,0.2717,0.1642793636206991,0.4359793636206991
1,5,Joey McIntyre,Ashly DelGrosso,Massachusetts,United States,32,Singer/Rapper,3,Eliminated Week 5,0.3082,0.2402928770194119,0.5484928770194119
1,5,John O'Hurley,Charlotte Jorgensen,Maine,United States,50,Actor/Actress,2,2nd Place,0.3699,0.448402363780816,0.818302363780816
1,5,Kelly Monaco,Alec Mazo,Pennsylvania,United States,29,Actor/Actress,1,1st Place,0.3219,0.311304759199772,0.633204759199772
1,6,John O'Hurley,Charlotte Jorgensen,Maine,United States,50,Actor/Actress,2,2nd Place,0.4954,0.4097694358563049,0.9051694358563048
1,6,Kelly Monaco,Alec Mazo,Pennsylvania,United States,29,Actor/Actress,1,1st Place,0.5046,0.5902305641436951,1.0948305641436953
2,1,Drew Lachey,Cheryl Burke,Ohio,United States,29,Singer/Rapper,1,1st Place,0.1231,0.2293361379662934,0.3524361379662934
2,1,George Hamilton,Edyta Sliwinska,Tennessee,United States,66,Actor/Actress,5,Eliminated Week 6,0.0923,0.0538765143979711,0.146176514397971
2,1,Giselle Fernandez,Jonathan Roberts,others,Mexico,44,News Anchor,8,Eliminated Week 3,0.1179,0.1592173390956978,0.2771173390956978
2,1,Jerry Rice,Anna Trebunskaya,Mississippi,United States,43,Athlete,2,2nd Place,0.1077,0.0853224594092056,0.1930224594092056
2,1,Kenny Mayne,Andrea Hale,Washington,United States,46,Sports Broadcaster,10,Eliminated Week 1,0.0667,0.0494476975434849,0.1161476975434848
2,1,Lisa Rinna,Louis van Amstel,California,United States,42,Actor/Actress,4,Eliminated Week 7,0.0974,0.0658595111058135,0.1632595111058135
2,1,Master P,Ashly DelGrosso,Louisiana,United States,35,Singer/Rapper,7,Eliminated Week 4,0.0615,0.0592353872909076,0.1207353872909076
2,1,Stacy Keibler,Tony Dovolani,Maryland,United States,26,Athlete,3,3rd Place,0.1128,0.1005371308046297,0.2133371308046296
2,1,Tatum O'Neal,Nick Kosovich,California,United States,42,Actor/Actress,9,Eliminated Week 2,0.1179,0.1228981933364176,0.2407981933364176
2,1,Tia Carrere,Maksim Chmerkoskiy,Hawaii,United States,39,Actor/Actress,6,Eliminated Week 5,0.1026,0.0742696290495783,0.1768696290495783
2,2,Drew Lachey,Cheryl Burke,Ohio,United States,29,Singer/Rapper,1,1st Place,0.135,0.1674998195093863,0.3024998195093863
2,2,George Hamilton,Edyta Sliwinska,Tennessee,United States,66,Actor/Actress,5,Eliminated Week 6,0.11,0.0781331325563497,0.1881331325563497
2,2,Giselle Fernandez,Jonathan Roberts,others,Mexico,44,News Anchor,8,Eliminated Week 3,0.12,0.1292913530573873,0.2492913530573872
2,2,Jerry Rice,Anna Trebunskaya,Mississippi,United States,43,Athlete,2,2nd Place,0.115,0.1057670688344148,0.2207670688344148
2,2,Lisa Rinna,Louis van Amstel,California,United States,42,Actor/Actress,4,Eliminated Week 7,0.1,0.0623168100669741,0.1623168100669741
2,2,Master P,Ashly DelGrosso,Louisiana,United States,35,Singer/Rapper,7,Eliminated Week 4,0.08,0.0692855205711591,0.1492855205711591
2,2,Stacy Keibler,Tony Dovolani,Maryland,United States,26,Athlete,3,3rd Place,0.145,0.2412661958459512,0.3862661958459512
2,2,Tatum O'Neal,Nick Kosovich,California,United States,42,Actor/Actress,9,Eliminated Week 2,0.085,0.0566791687934876,0.1416791687934876
