season,name,actual_placement,rule,survival_weeks,eliminated_week,reached_final,simulated_placement,times_in_bottom_two
2,Jerry Rice,2,R1: 纯百分比法,8,,True,3,3
2,Jerry Rice,2,R2: 纯排名法,8,,True,2,0
2,Jerry Rice,2,R3: 百分比+评委决定,5,6.0,False,5,3
2,Jerry Rice,2,R4: 排名+评委决定,2,3.0,False,8,1
4,Billy Ray Cyrus,5,R1: 纯百分比法,8,,True,5,0
4,Billy Ray Cyrus,5,R2: 纯排名法,6,7.0,False,6,2
4,Billy Ray Cyrus,5,R3: 百分比+评委决定,5,6.0,False,7,1
4,Billy Ray Cyrus,5,R4: 排名+评委决定,4,5.0,False,8,1
11,Bristol Palin,3,R1: 纯百分比法,10,,True,3,0
11,Bristol Palin,3,R2: 纯排名法,7,8.0,False,5,2
11,Bristol Palin,3,R3: 百分比+评委决定,7,8.0,False,5,1
11,Bristol Palin,3,R4: 排名+评委决定,6,7.0,False,6,1
27,Bobby Bones,1,R1: 纯百分比法,9,,True,1,0
27,Bobby Bones,1,R2: 纯排名法,7,8.0,False,5,1
27,Bobby Bones,1,R3: 百分比+评委决定,7,8.0,False,5,1
27,Bobby Bones,1,R4: 排名+评委决定,7,8.0,False,5,1
